id,categorie,marque,nom,description,genre,tailles,couleur,annee_modele,etat,prix_ttc_eur,prix_solde_eur,taux_remise_pct,disponibilite,nouveaute,mise_en_avant,url_fabricant,images
BR-011,Vélo électrique,Scott,Lumen eRIDE 910,"VTT électrique léger carbone, moteur TQ HPR50, 15,5 kg, le très haut de gamme.",Mixte,S à XL,Carbone brut,2025,Neuf,8999.00,,,Sur commande,oui,oui,,assets/images/products/BR-011-1.webp;assets/images/products/BR-011-2.webp;assets/images/products/BR-011-3.webp
BR-012,Vélo électrique,Scott,Strike eRIDE 930,"VTT électrique tout-suspendu, moteur Bosch Performance CX, batterie 750 Wh.",Mixte,S à XL,Gris métal,2024,Neuf,4599.00,,,En stock,non,non,,assets/images/products/BR-012-1.webp
BR-013,Vélo électrique,Scott,Sub Cross eRIDE 20,"VTC électrique dynamique, moteur Bosch Performance, batterie 500 Wh, équipé pour la ville.",Mixte,S à XL,Bleu ardoise,2025,Neuf,3299.00,,,En stock,non,non,,assets/images/products/BR-013-1.webp;assets/images/products/BR-013-2.webp;assets/images/products/BR-013-3.webp
BR-014,Vélo ville,Cube,Town Pro,"Vélo de ville aluminium, position droite confortable, éclairage sur dynamo moyeu.",Mixte,S à L,Noir classique,2024,Neuf,799.00,,,En stock,non,non,,
BR-015,Vélo enfant,Scott,Scale 24,"VTT enfant 24 pouces, 8 vitesses, cadre aluminium léger, pour les 8 à 11 ans.",Enfant,24 pouces,Jaune fluo,2025,Neuf,449.00,,,En stock,non,non,,assets/images/products/BR-015-1.webp
BR-016,Vélo enfant,Scott,Roxter 20,"Vélo enfant 20 pouces, 7 vitesses, pour les 6 à 8 ans.",Enfant,20 pouces,Orange,2024,Neuf,399.00,,,Rupture,non,non,,assets/images/products/BR-016-1.webp
BR-017,Casque,Scott,Cadence Plus,"Casque route aérodynamique haut de gamme, protection MIPS Air, ventilation optimisée.",Mixte,S à L,Noir mat,2025,Neuf,249.90,,,Sur commande,non,non,,assets/images/products/BR-017-1.png;assets/images/products/BR-017-2.png;assets/images/products/BR-017-3.png
BR-018,Casque,Scott,Centric Plus,"Casque route performance, protection MIPS, 250 g.",Mixte,S à L,Blanc,2024,Neuf,199.90,,,En stock,non,non,,assets/images/products/BR-018-1.png;assets/images/products/BR-018-2.png;assets/images/products/BR-018-3.png
BR-019,Casque,Scott,Arx Plus,"Casque route et VTT polyvalent, protection MIPS, excellent rapport qualité-prix.",Mixte,S à L,Gris,2024,Neuf,119.90,,,En stock,non,non,,assets/images/products/BR-019-1.jpg
BR-020,Casque,Scott,Argo Plus,"Casque VTT trail, protection MIPS, visière intégrée.",Mixte,S à L,Vert kaki,2025,Neuf,99.90,,,En stock,non,non,,assets/images/products/BR-020-1.jpg;assets/images/products/BR-020-2.jpg;assets/images/products/BR-020-3.jpg
BR-021,Casque,MET,Rivale MIPS,"Casque route aérodynamique, 267 g.",Mixte,S à L,Rouge,2024,Neuf,149.90,,,En stock,non,non,,assets/images/products/BR-021-1.jpg;assets/images/products/BR-021-2.jpg;assets/images/products/BR-021-3.jpg
BR-022,Casque,Abus,Youn-I 2.0,"Casque ville et enfant, LED arrière intégrée, molette de réglage.",Enfant,48 à 56 cm,Bleu ciel,2024,Neuf,59.90,,,En stock,non,non,,assets/images/products/BR-022-1.jpg;assets/images/products/BR-022-2.jpg;assets/images/products/BR-022-3.jpg
BR-023,Trail,Scott,Kinabalu 3,"Chaussure de trail polyvalente, amorti dynamique, accroche fiable sur tous terrains.",Homme,40 au 47,Bleu électrique,2025,Neuf,149.90,,,En stock,non,non,,
BR-024,Trail,Scott,Supertrac RC 2,"Chaussure de trail compétition, stabilité et protection pour la longue distance.",Femme,36 au 42,Noir et rose,2024,Neuf,169.90,,,Sur commande,non,non,,
BR-025,Running,Scott,Speed Carbon RC 2,"Chaussure de course à plaque carbone, pour la performance sur route.",Mixte,39 au 47,Jaune fluo,2024,Neuf,279.90,209.90,25,Sur commande,oui,oui,,assets/images/products/BR-025-1.webp;assets/images/products/BR-025-2.webp
BR-026,Running,Scott,Pursuit Ride,"Chaussure de running route pour l'entraînement quotidien, amorti équilibré.",Homme,40 au 47,Gris clair,2025,Neuf,139.90,,,En stock,non,non,,assets/images/products/BR-026-1.jpg;assets/images/products/BR-026-2.jpg;assets/images/products/BR-026-3.jpg
BR-027,Trail,Salomon,Speedcross 6,"Chaussure de trail, accroche agressive pour les terrains gras du bocage.",Femme,36 au 42,Bleu nuit,2024,Neuf,139.90,,,En stock,non,non,,
BR-028,Running,Hoka,Clifton 9,"Chaussure de running route, amorti maximal, du quotidien aux longues distances.",Mixte,36 au 47,Blanc,2024,Neuf,149.90,,,En stock,non,non,,assets/images/products/BR-028-1.webp;assets/images/products/BR-028-2.webp;assets/images/products/BR-028-3.webp
BR-029,Accessoire,Garmin,Edge 540,"Compteur GPS, autonomie 26 h, navigation et métriques d'entraînement.",Mixte,Taille unique,Noir,2023,Neuf,449.90,,,En stock,oui,non,,assets/images/products/BR-029-1.jpg
BR-030,Accessoire,Continental,Grand Prix 5000,"Pneu route 700 × 25, la référence performance et longévité.",Mixte,700 × 25,Noir,2024,Neuf,64.90,,,En stock,non,non,,assets/images/products/BR-030-1.jpg;assets/images/products/BR-030-2.jpg;assets/images/products/BR-030-3.jpg
BR-031,Accessoire,Shimano,PD-M520,"Pédales automatiques SPD double face, cales incluses.",Mixte,Taille unique,Noir,2023,Neuf,44.90,,,En stock,non,non,,assets/images/products/BR-031-1.jpg;assets/images/products/BR-031-2.jpg;assets/images/products/BR-031-3.jpg
BR-032,Accessoire,Elite,Fly 550 ml,"Bidon souple ultraléger de 550 ml, seulement 54 g.",Mixte,550 ml,Blanc,2024,Neuf,7.90,,,En stock,non,non,,assets/images/products/BR-032-1.jpg;assets/images/products/BR-032-2.jpg
